commodity,model,horizon,auc,brier,brier_skill,hit_rate,false_alarm_rate,n_observed,n_events
cotton,clf_xgb,3,0.6222488038277513,0.149917555033493,0.0301839273572638,0.0,,117,22
cotton,climatology,3,0.466267942583732,0.1545834919243704,0.0,0.0,,117,22
cotton,clf_logit,3,0.5478468899521531,0.154908444466299,-0.0021021167130033,0.0,,117,22
cotton,clf_xgb,6,0.5616732804232805,0.2297653128247001,0.0174373958574286,0.1666666666666666,0.4166666666666667,114,42
cotton,climatology,6,0.4892526455026454,0.2338429244670916,0.0,0.0,,114,42
cotton,clf_logit,6,0.5291005291005292,0.2428849420293956,-0.0386670564564228,0.2619047619047619,0.5769230769230769,114,42
cotton,climatology,9,0.553010033444816,0.2462258435371744,0.0,0.1521739130434782,0.6111111111111112,111,46
cotton,clf_xgb,9,0.5729096989966556,0.2465271626913053,-0.0012237511294603,0.5869565217391305,0.578125,111,46
cotton,clf_logit,9,0.4959866220735787,0.2709657134224341,-0.1004763331495079,0.6304347826086957,0.5972222222222222,111,46
rubber,clf_xgb,3,0.602994227994228,0.207527694106458,0.0099743450290025,0.1212121212121212,0.6,117,33
rubber,climatology,3,0.501984126984127,0.2096185013635202,0.0,0.0,,117,33
rubber,clf_logit,3,0.6421356421356421,0.2096484370937665,-0.0001428105346219,0.1818181818181818,0.7,117,33
rubber,clf_logit,6,0.7401182695300342,0.2237917432331259,0.1110232190698607,0.8431372549019608,0.3676470588235294,114,51
rubber,clf_xgb,6,0.7209772798008093,0.2271419330432041,0.097715127762105,0.7647058823529411,0.4347826086956521,114,51
rubber,climatology,6,0.5014005602240896,0.251740819370976,0.0,0.803921568627451,0.5543478260869565,114,51
rubber,clf_logit,9,0.7745227123107308,0.2041715158282237,0.1824381891799446,0.8709677419354839,0.3720930232558139,111,62
rubber,clf_xgb,9,0.7312376563528638,0.2196293008650039,0.1205407463624573,0.8548387096774194,0.3837209302325581,111,62
rubber,climatology,9,0.4812376563528637,0.2497322075543492,0.0,1.0,0.4414414414414414,111,62
