commodity,scenario,severity,horizon_months,threshold,prob_exceed
rubber,el_nino,1.25,6,0.1,0.7641
rubber,el_nino,1.25,6,0.15,0.6814
rubber,el_nino,1.25,6,0.2,0.593
rubber,el_nino,1.25,12,0.05,0.932
rubber,el_nino,1.25,12,0.1,0.9044
rubber,el_nino,1.25,12,0.15,0.8782
rubber,el_nino,1.25,12,0.2,0.8451
rubber,el_nino,1.5,3,0.05,0.7558
rubber,el_nino,1.5,3,0.1,0.6278
rubber,el_nino,1.5,3,0.15,0.4894
rubber,el_nino,1.5,3,0.2,0.3498
rubber,el_nino,1.5,6,0.05,0.8757
rubber,el_nino,1.5,6,0.1,0.8234
rubber,el_nino,1.5,6,0.15,0.7547
rubber,el_nino,1.5,6,0.2,0.6756
rubber,el_nino,1.5,12,0.05,0.9613
rubber,el_nino,1.5,12,0.1,0.9457
rubber,el_nino,1.5,12,0.15,0.926
rubber,el_nino,1.5,12,0.2,0.8996
rubber,el_nino,1.75,3,0.05,0.8005
rubber,el_nino,1.75,3,0.1,0.6849
rubber,el_nino,1.75,3,0.15,0.5535
rubber,el_nino,1.75,3,0.2,0.4094
rubber,el_nino,1.75,6,0.05,0.9096
rubber,el_nino,1.75,6,0.1,0.869
rubber,el_nino,1.75,6,0.15,0.8161
rubber,el_nino,1.75,6,0.2,0.749
rubber,el_nino,1.75,12,0.05,0.9793
rubber,el_nino,1.75,12,0.1,0.9703
rubber,el_nino,1.75,12,0.15,0.9576
rubber,el_nino,1.75,12,0.2,0.9416
rubber,el_nino,2.0,3,0.05,0.8408
rubber,el_nino,2.0,3,0.1,0.7377
rubber,el_nino,2.0,3,0.15,0.614
rubber,el_nino,2.0,3,0.2,0.4793
rubber,el_nino,2.0,6,0.05,0.9414
rubber,el_nino,2.0,6,0.1,0.9057
rubber,el_nino,2.0,6,0.15,0.8638
rubber,el_nino,2.0,6,0.2,0.8121
rubber,el_nino,2.0,12,0.05,0.9896
rubber,el_nino,2.0,12,0.1,0.9845
rubber,el_nino,2.0,12,0.15,0.9769
rubber,el_nino,2.0,12,0.2,0.9678
rubber,drought,0.0,3,0.05,0.3943
rubber,drought,0.0,3,0.1,0.2587
rubber,drought,0.0,3,0.15,0.1533
rubber,drought,0.0,3,0.2,0.0838
rubber,drought,0.0,6,0.05,0.4438
rubber,drought,0.0,6,0.1,0.3449
rubber,drought,0.0,6,0.15,0.2606
rubber,drought,0.0,6,0.2,0.1876
rubber,drought,0.0,12,0.05,0.4937
rubber,drought,0.0,12,0.1,0.4194
rubber,drought,0.0,12,0.15,0.3526
rubber,drought,0.0,12,0.2,0.2905
rubber,drought,0.25,3,0.05,0.4188
rubber,drought,0.25,3,0.1,0.2786
rubber,drought,0.25,3,0.15,0.1673
rubber,drought,0.25,3,0.2,0.0937
rubber,drought,0.25,6,0.05,0.4792
rubber,drought,0.25,6,0.1,0.3754
rubber,drought,0.25,6,0.15,0.2854
rubber,drought,0.25,6,0.2,0.2107
rubber,drought,0.25,12,0.05,0.5362
rubber,drought,0.25,12,0.1,0.4627
rubber,drought,0.25,12,0.15,0.395
rubber,drought,0.25,12,0.2,0.3317
rubber,drought,0.5,3,0.05,0.4429
rubber,drought,0.5,3,0.1,0.2975
rubber,drought,0.5,3,0.15,0.183
rubber,drought,0.5,3,0.2,0.104
rubber,drought,0.5,6,0.05,0.5087
rubber,drought,0.5,6,0.1,0.4019
rubber,drought,0.5,6,0.15,0.3099
rubber,drought,0.5,6,0.2,0.234
rubber,drought,0.5,12,0.05,0.5812
rubber,drought,0.5,12,0.1,0.5072
rubber,drought,0.5,12,0.15,0.4358
rubber,drought,0.5,12,0.2,0.372
rubber,drought,0.75,3,0.05,0.4689
rubber,drought,0.75,3,0.1,0.3164
rubber,drought,0.75,3,0.15,0.1984
rubber,drought,0.75,3,0.2,0.1142
rubber,drought,0.75,6,0.05,0.543
rubber,drought,0.75,6,0.1,0.4343
rubber,drought,0.75,6,0.15,0.3387
rubber,drought,0.75,6,0.2,0.2588
rubber,drought,0.75,12,0.05,0.626
rubber,drought,0.75,12,0.1,0.5499
rubber,drought,0.75,12,0.15,0.4814
rubber,drought,0.75,12,0.2,0.4148
rubber,drought,1.0,3,0.05,0.4916
rubber,drought,1.0,3,0.1,0.3377
rubber,drought,1.0,3,0.15,0.2146
rubber,drought,1.0,3,0.2,0.1246
rubber,drought,1.0,6,0.05,0.5747
rubber,drought,1.0,6,0.1,0.4665
rubber,drought,1.0,6,0.15,0.3688
rubber,drought,1.0,6,0.2,0.2841
rubber,drought,1.0,12,0.05,0.6658
rubber,drought,1.0,12,0.1,0.5976
rubber,drought,1.0,12,0.15,0.5245
rubber,drought,1.0,12,0.2,0.4559
rubber,drought,1.25,3,0.05,0.5139
rubber,drought,1.25,3,0.1,0.3612
rubber,drought,1.25,3,0.15,0.2316
rubber,drought,1.25,3,0.2,0.1376
rubber,drought,1.25,6,0.05,0.6068
rubber,drought,1.25,6,0.1,0.4971
rubber,drought,1.25,6,0.15,0.3972
rubber,drought,1.25,6,0.2,0.3083
rubber,drought,1.25,12,0.05,0.7039
rubber,drought,1.25,12,0.1,0.6401
rubber,drought,1.25,12,0.15,0.5694
rubber,drought,1.25,12,0.2,0.5013
rubber,drought,1.5,3,0.05,0.5373
rubber,drought,1.5,3,0.1,0.3794
rubber,drought,1.5,3,0.15,0.251
rubber,drought,1.5,3,0.2,0.1517
rubber,drought,1.5,6,0.05,0.6358
rubber,drought,1.5,6,0.1,0.5317
rubber,drought,1.5,6,0.15,0.4269
rubber,drought,1.5,6,0.2,0.3368
rubber,drought,1.5,12,0.05,0.7391
rubber,drought,1.5,12,0.1,0.6784
rubber,drought,1.5,12,0.15,0.6146
rubber,drought,1.5,12,0.2,0.5443
rubber,drought,1.75,3,0.05,0.5584
rubber,drought,1.75,3,0.1,0.4015
rubber,drought,1.75,3,0.15,0.2701
rubber,drought,1.75,3,0.2,0.1655
rubber,drought,1.75,6,0.05,0.665
rubber,drought,1.75,6,0.1,0.5638
rubber,drought,1.75,6,0.15,0.4599
rubber,drought,1.75,6,0.2,0.3663
rubber,drought,1.75,12,0.05,0.7719
rubber,drought,1.75,12,0.1,0.7158
rubber,drought,1.75,12,0.15,0.6551
rubber,drought,1.75,12,0.2,0.5903
rubber,drought,2.0,3,0.05,0.578
rubber,drought,2.0,3,0.1,0.4247
rubber,drought,2.0,3,0.15,0.2895
rubber,drought,2.0,3,0.2,0.1806
rubber,drought,2.0,6,0.05,0.6902
rubber,drought,2.0,6,0.1,0.5945
rubber,drought,2.0,6,0.15,0.4916
rubber,drought,2.0,6,0.2,0.3955
rubber,drought,2.0,12,0.05,0.8042
rubber,drought,2.0,12,0.1,0.7494
rubber,drought,2.0,12,0.15,0.6932
rubber,drought,2.0,12,0.2,0.6347
rubber,flood,0.0,3,0.05,0.3943
rubber,flood,0.0,3,0.1,0.2587
rubber,flood,0.0,3,0.15,0.1533
rubber,flood,0.0,3,0.2,0.0838
rubber,flood,0.0,6,0.05,0.4438
rubber,flood,0.0,6,0.1,0.3449
rubber,flood,0.0,6,0.15,0.2606
rubber,flood,0.0,6,0.2,0.1876
rubber,flood,0.0,12,0.05,0.4937
rubber,flood,0.0,12,0.1,0.4194
rubber,flood,0.0,12,0.15,0.3526
rubber,flood,0.0,12,0.2,0.2905
rubber,flood,0.25,3,0.05,0.3547
rubber,flood,0.25,3,0.1,0.2219
rubber,flood,0.25,3,0.15,0.1264
rubber,flood,0.25,3,0.2,0.0678
rubber,flood,0.25,6,0.05,0.386
rubber,flood,0.25,6,0.1,0.2918
rubber,flood,0.25,6,0.15,0.2129
rubber,flood,0.25,6,0.2,0.1499
rubber,flood,0.25,12,0.05,0.41
rubber,flood,0.25,12,0.1,0.3382
rubber,flood,0.25,12,0.15,0.2761
rubber,flood,0.25,12,0.2,0.227
rubber,flood,0.5,3,0.05,0.3122
rubber,flood,0.5,3,0.1,0.1905
rubber,flood,0.5,3,0.15,0.1063
rubber,flood,0.5,3,0.2,0.0553
rubber,flood,0.5,6,0.05,0.33
rubber,flood,0.5,6,0.1,0.2423
rubber,flood,0.5,6,0.15,0.1707
rubber,flood,0.5,6,0.2,0.1183
rubber,flood,0.5,12,0.05,0.3268
rubber,flood,0.5,12,0.1,0.2639
rubber,flood,0.5,12,0.15,0.2118
rubber,flood,0.5,12,0.2,0.1662
rubber,flood,0.75,3,0.05,0.2745
rubber,flood,0.75,3,0.1,0.1614
rubber,flood,0.75,3,0.15,0.0873
rubber,flood,0.75,3,0.2,0.045
rubber,flood,0.75,6,0.05,0.2778
rubber,flood,0.75,6,0.1,0.1967
rubber,flood,0.75,6,0.15,0.1351
rubber,flood,0.75,6,0.2,0.0912
rubber,flood,0.75,12,0.05,0.2549
rubber,flood,0.75,12,0.1,0.201
rubber,flood,0.75,12,0.15,0.1544
rubber,flood,0.75,12,0.2,0.118
rubber,flood,1.0,3,0.05,0.2371
rubber,flood,1.0,3,0.1,0.1332
rubber,flood,1.0,3,0.15,0.0694
rubber,flood,1.0,3,0.2,0.035
rubber,flood,1.0,6,0.05,0.2293
rubber,flood,1.0,6,0.1,0.158
rubber,flood,1.0,6,0.15,0.1051
rubber,flood,1.0,6,0.2,0.0664
rubber,flood,1.0,12,0.05,0.1923
rubber,flood,1.0,12,0.1,0.1467
rubber,flood,1.0,12,0.15,0.1091
rubber,flood,1.0,12,0.2,0.0808
rubber,flood,1.25,3,0.05,0.2027
rubber,flood,1.25,3,0.1,0.1111
rubber,flood,1.25,3,0.15,0.0574
rubber,flood,1.25,3,0.2,0.028
rubber,flood,1.25,6,0.05,0.184
rubber,flood,1.25,6,0.1,0.1243
rubber,flood,1.25,6,0.15,0.0819
rubber,flood,1.25,6,0.2,0.0478
rubber,flood,1.25,12,0.05,0.1396
rubber,flood,1.25,12,0.1,0.1033
rubber,flood,1.25,12,0.15,0.0743
rubber,flood,1.25,12,0.2,0.0539
rubber,flood,1.5,3,0.05,0.1735
rubber,flood,1.5,3,0.1,0.0918
rubber,flood,1.5,3,0.15,0.0462
rubber,flood,1.5,3,0.2,0.0232
rubber,flood,1.5,6,0.05,0.1466
rubber,flood,1.5,6,0.1,0.0959
rubber,flood,1.5,6,0.15,0.0574
rubber,flood,1.5,6,0.2,0.0347
rubber,flood,1.5,12,0.05,0.0981
rubber,flood,1.5,12,0.1,0.0691
rubber,flood,1.5,12,0.15,0.0491
rubber,flood,1.5,12,0.2,0.0346
rubber,flood,1.75,3,0.05,0.1443
rubber,flood,1.75,3,0.1,0.0736
rubber,flood,1.75,3,0.15,0.0363
rubber,flood,1.75,3,0.2,0.0186
rubber,flood,1.75,6,0.05,0.1158
rubber,flood,1.75,6,0.1,0.0729
rubber,flood,1.75,6,0.15,0.042
rubber,flood,1.75,6,0.2,0.0253
rubber,flood,1.75,12,0.05,0.0648
rubber,flood,1.75,12,0.1,0.0451
rubber,flood,1.75,12,0.15,0.0321
rubber,flood,1.75,12,0.2,0.0212
rubber,flood,2.0,3,0.05,0.12
rubber,flood,2.0,3,0.1,0.0601
rubber,flood,2.0,3,0.15,0.029
rubber,flood,2.0,3,0.2,0.0142
rubber,flood,2.0,6,0.05,0.09
rubber,flood,2.0,6,0.1,0.0519
rubber,flood,2.0,6,0.15,0.03
rubber,flood,2.0,6,0.2,0.0174
rubber,flood,2.0,12,0.05,0.0422
rubber,flood,2.0,12,0.1,0.0293
rubber,flood,2.0,12,0.15,0.0191
rubber,flood,2.0,12,0.2,0.0122
