commodity,scenario,severity,horizon_months,threshold,prob_exceed
cotton,el_nino,0.25,3,0.1,0.1115
cotton,el_nino,0.25,3,0.15,0.0404
cotton,el_nino,0.25,3,0.2,0.0147
cotton,el_nino,0.25,6,0.05,0.3271
cotton,el_nino,0.25,6,0.1,0.1882
cotton,el_nino,0.25,6,0.15,0.1043
cotton,el_nino,0.25,6,0.2,0.052
cotton,el_nino,0.25,12,0.05,0.3636
cotton,el_nino,0.25,12,0.1,0.2622
cotton,el_nino,0.25,12,0.15,0.1855
cotton,el_nino,0.25,12,0.2,0.1234
cotton,el_nino,0.5,3,0.05,0.2338
cotton,el_nino,0.5,3,0.1,0.0966
cotton,el_nino,0.5,3,0.15,0.0337
cotton,el_nino,0.5,3,0.2,0.012
cotton,el_nino,0.5,6,0.05,0.2762
cotton,el_nino,0.5,6,0.1,0.1561
cotton,el_nino,0.5,6,0.15,0.0827
cotton,el_nino,0.5,6,0.2,0.0399
cotton,el_nino,0.5,12,0.05,0.2971
cotton,el_nino,0.5,12,0.1,0.208
cotton,el_nino,0.5,12,0.15,0.1378
cotton,el_nino,0.5,12,0.2,0.0889
cotton,el_nino,0.75,3,0.05,0.2058
cotton,el_nino,0.75,3,0.1,0.0812
cotton,el_nino,0.75,3,0.15,0.0289
cotton,el_nino,0.75,3,0.2,0.0089
cotton,el_nino,0.75,6,0.05,0.2313
cotton,el_nino,0.75,6,0.1,0.1274
cotton,el_nino,0.75,6,0.15,0.065
cotton,el_nino,0.75,6,0.2,0.03
cotton,el_nino,0.75,12,0.05,0.235
cotton,el_nino,0.75,12,0.1,0.161
cotton,el_nino,0.75,12,0.15,0.1027
cotton,el_nino,0.75,12,0.2,0.0626
cotton,el_nino,1.0,3,0.05,0.1796
cotton,el_nino,1.0,3,0.1,0.0691
cotton,el_nino,1.0,3,0.15,0.0238
cotton,el_nino,1.0,3,0.2,0.0074
cotton,el_nino,1.0,6,0.05,0.1918
cotton,el_nino,1.0,6,0.1,0.1039
cotton,el_nino,1.0,6,0.15,0.0506
cotton,el_nino,1.0,6,0.2,0.0221
cotton,el_nino,1.0,12,0.05,0.1867
cotton,el_nino,1.0,12,0.1,0.1195
cotton,el_nino,1.0,12,0.15,0.0732
cotton,el_nino,1.0,12,0.2,0.043
cotton,el_nino,1.25,3,0.05,0.1572
cotton,el_nino,1.25,3,0.1,0.0577
cotton,el_nino,1.25,3,0.15,0.0202
cotton,el_nino,1.25,3,0.2,0.006
cotton,el_nino,1.25,6,0.05,0.1592
cotton,el_nino,1.25,6,0.1,0.0821
cotton,el_nino,1.25,6,0.15,0.0383
cotton,el_nino,1.25,6,0.2,0.0159
cotton,el_nino,1.25,12,0.05,0.1399
cotton,el_nino,1.25,12,0.1,0.0861
cotton,el_nino,1.25,12,0.15,0.0513
cotton,el_nino,1.25,12,0.2,0.0292
cotton,el_nino,1.5,3,0.05,0.1345
cotton,el_nino,1.5,3,0.1,0.0476
cotton,el_nino,1.5,3,0.15,0.017
cotton,el_nino,1.5,3,0.2,0.0048
cotton,el_nino,1.5,6,0.05,0.1297
cotton,el_nino,1.5,6,0.1,0.0647
cotton,el_nino,1.5,6,0.15,0.0286
cotton,el_nino,1.5,6,0.2,0.0111
cotton,el_nino,1.5,12,0.05,0.1038
cotton,el_nino,1.5,12,0.1,0.0608
cotton,el_nino,1.5,12,0.15,0.035
cotton,el_nino,1.5,12,0.2,0.0184
cotton,el_nino,1.75,3,0.05,0.1146
cotton,el_nino,1.75,3,0.1,0.0402
cotton,el_nino,1.75,3,0.15,0.0136
cotton,el_nino,1.75,3,0.2,0.0037
cotton,el_nino,1.75,6,0.05,0.1049
cotton,el_nino,1.75,6,0.1,0.0501
cotton,el_nino,1.75,6,0.15,0.0213
cotton,el_nino,1.75,6,0.2,0.0086
cotton,el_nino,1.75,12,0.05,0.0738
cotton,el_nino,1.75,12,0.1,0.0419
cotton,el_nino,1.75,12,0.15,0.0225
cotton,el_nino,1.75,12,0.2,0.0123
cotton,el_nino,2.0,3,0.05,0.0992
cotton,el_nino,2.0,3,0.1,0.0334
cotton,el_nino,2.0,3,0.15,0.0111
cotton,el_nino,2.0,3,0.2,0.0029
cotton,el_nino,2.0,6,0.05,0.0835
cotton,el_nino,2.0,6,0.1,0.0379
cotton,el_nino,2.0,6,0.15,0.0148
cotton,el_nino,2.0,6,0.2,0.0065
cotton,el_nino,2.0,12,0.05,0.0516
cotton,el_nino,2.0,12,0.1,0.0276
cotton,el_nino,2.0,12,0.15,0.0149
cotton,el_nino,2.0,12,0.2,0.0084
cotton,drought,0.0,3,0.05,0.296
cotton,drought,0.0,3,0.1,0.13
cotton,drought,0.0,3,0.15,0.0481
cotton,drought,0.0,3,0.2,0.0179
cotton,drought,0.0,6,0.05,0.3748
cotton,drought,0.0,6,0.1,0.2271
cotton,drought,0.0,6,0.15,0.128
cotton,drought,0.0,6,0.2,0.0681
cotton,drought,0.0,12,0.05,0.4352
cotton,drought,0.0,12,0.1,0.3265
cotton,drought,0.0,12,0.15,0.2333
cotton,drought,0.0,12,0.2,0.1649
cotton,drought,0.25,3,0.05,0.2286
cotton,drought,0.25,3,0.1,0.0939
cotton,drought,0.25,3,0.15,0.0331
cotton,drought,0.25,3,0.2,0.0116
cotton,drought,0.25,6,0.05,0.2683
cotton,drought,0.25,6,0.1,0.1519
cotton,drought,0.25,6,0.15,0.0791
cotton,drought,0.25,6,0.2,0.0383
cotton,drought,0.25,12,0.05,0.2851
cotton,drought,0.25,12,0.1,0.201
cotton,drought,0.25,12,0.15,0.1316
cotton,drought,0.25,12,0.2,0.084
cotton,drought,0.5,3,0.05,0.1711
cotton,drought,0.5,3,0.1,0.0657
