month,prob,commodity,model,horizon,label
2024-04,0.2606983950929797,cotton,clf_logit,3,0
2024-05,0.22274378433169167,cotton,clf_logit,3,0
2024-06,0.21144587906943407,cotton,clf_logit,3,0
2024-07,0.2219715980278065,cotton,clf_logit,3,0
2024-08,0.17981795803958936,cotton,clf_logit,3,0
2024-09,0.18994110128205297,cotton,clf_logit,3,0
2024-10,0.14473281297916044,cotton,clf_logit,3,0
2024-11,0.16389374964775044,cotton,clf_logit,3,0
2024-12,0.18930131224719443,cotton,clf_logit,3,0
2025-01,0.13214083404370963,cotton,clf_logit,3,0
2025-02,0.1873729773978255,cotton,clf_logit,3,0
2025-03,0.0837925782690835,cotton,clf_logit,3,0
2025-04,0.13868286979857244,cotton,clf_logit,3,0
2025-05,0.15303222607295533,cotton,clf_logit,3,0
2025-06,0.17161598425825075,cotton,clf_logit,3,0
2025-07,0.17316107548732754,cotton,clf_logit,3,0
2025-08,0.1849877255407329,cotton,clf_logit,3,0
2025-09,0.15121045348204978,cotton,clf_logit,3,0
2016-01,0.5590957985537208,cotton,clf_logit,6,1
2016-02,0.5791567152953033,cotton,clf_logit,6,1
2016-03,0.474049887045088,cotton,clf_logit,6,1
2016-04,0.7325100026525545,cotton,clf_logit,6,1
2016-05,0.6465670533376362,cotton,clf_logit,6,1
2016-06,0.6448687858239739,cotton,clf_logit,6,0
2016-07,0.6561660201203215,cotton,clf_logit,6,0
2016-08,0.6710088745094249,cotton,clf_logit,6,0
2016-09,0.6649510225000272,cotton,clf_logit,6,1
2016-10,0.5571875198134835,cotton,clf_logit,6,1
2016-11,0.5603654772369455,cotton,clf_logit,6,1
2016-12,0.558422734072607,cotton,clf_logit,6,1
2017-01,0.5867430670645368,cotton,clf_logit,6,0
2017-02,0.4547389849248053,cotton,clf_logit,6,0
2017-03,0.6441192276569069,cotton,clf_logit,6,0
2017-04,0.424414239636951,cotton,clf_logit,6,0
2017-05,0.49458643602630775,cotton,clf_logit,6,0
2017-06,0.5050181834667283,cotton,clf_logit,6,0
2017-07,0.5729310584090529,cotton,clf_logit,6,0
2017-08,0.4499118188000107,cotton,clf_logit,6,1
2017-09,0.4518784912265967,cotton,clf_logit,6,1
2017-10,0.3757294234309707,cotton,clf_logit,6,1
2017-11,0.4942054986121009,cotton,clf_logit,6,1
2017-12,0.41108966511397615,cotton,clf_logit,6,1
2018-01,0.33625146815388757,cotton,clf_logit,6,0
2018-02,0.26528389292424936,cotton,clf_logit,6,1
2018-03,0.37175371681506847,cotton,clf_logit,6,0
2018-04,0.37350113599597357,cotton,clf_logit,6,0
2018-05,0.3591215407313478,cotton,clf_logit,6,0
2018-06,0.42937687428761806,cotton,clf_logit,6,0
2018-07,0.33412801002550363,cotton,clf_logit,6,0
2018-08,0.41314819507371203,cotton,clf_logit,6,0
2018-09,0.4835179533155498,cotton,clf_logit,6,0
2018-10,0.4459634417617761,cotton,clf_logit,6,0
2018-11,0.37778423277886986,cotton,clf_logit,6,0
2018-12,0.36918219073195724,cotton,clf_logit,6,0
2019-01,0.3031958242648776,cotton,clf_logit,6,0
2019-02,0.38131349879292353,cotton,clf_logit,6,0
2019-03,0.43038260968347797,cotton,clf_logit,6,0
2019-04,0.4913390416484162,cotton,clf_logit,6,0
2019-05,0.39693264163390146,cotton,clf_logit,6,0
2019-06,0.3457795719080523,cotton,clf_logit,6,0
2019-07,0.39917992334498464,cotton,clf_logit,6,0
2019-08,0.412365375446895,cotton,clf_logit,6,1
2019-09,0.5059969341035382,cotton,clf_logit,6,1
2019-10,0.4277746401245329,cotton,clf_logit,6,0
2019-11,0.43464834810000896,cotton,clf_logit,6,0
2019-12,0.40720842682816644,cotton,clf_logit,6,0
2020-01,0.468397286640636,cotton,clf_logit,6,0
2020-02,0.47219146352228425,cotton,clf_logit,6,0
2020-03,0.3935034799698013,cotton,clf_logit,6,0
2020-04,0.3357639950989482,cotton,clf_logit,6,1
2020-05,0.3282687477700508,cotton,clf_logit,6,1
2020-06,0.40953514544933356,cotton,clf_logit,6,1
2020-07,0.40741367107177273,cotton,clf_logit,6,1
2020-08,0.4373672742045368,cotton,clf_logit,6,1
2020-09,0.3775319754078026,cotton,clf_logit,6,1
2020-10,0.3992667201165895,cotton,clf_logit,6,1
2020-11,0.39158851051678445,cotton,clf_logit,6,1
2020-12,0.352182090979103,cotton,clf_logit,6,1
2021-01,0.3319065858631193,cotton,clf_logit,6,1
2021-02,0.30021544374949144,cotton,clf_logit,6,0
2021-03,0.24719199141770629,cotton,clf_logit,6,1
2021-04,0.2028314965415298,cotton,clf_logit,6,1
2021-05,0.30119295020153236,cotton,clf_logit,6,1
2021-06,0.40003070632353543,cotton,clf_logit,6,1
2021-07,0.4659007244719671,cotton,clf_logit,6,1
2021-08,0.47391255740160887,cotton,clf_logit,6,1
2021-09,0.3600749856383358,cotton,clf_logit,6,1
2021-10,0.3807307359376991,cotton,clf_logit,6,1
2021-11,0.47764905019972437,cotton,clf_logit,6,1
2021-12,0.36552847571140584,cotton,clf_logit,6,1
2022-01,0.5246392366947474,cotton,clf_logit,6,1
2022-02,0.44184501656688285,cotton,clf_logit,6,1
2022-03,0.54134878265288,cotton,clf_logit,6,1
2022-04,0.42201279690633603,cotton,clf_logit,6,0
2022-05,0.4602817367020945,cotton,clf_logit,6,0
2022-06,0.5713324207993851,cotton,clf_logit,6,0
2022-07,0.514734887484511,cotton,clf_logit,6,0
2022-08,0.46226697555269375,cotton,clf_logit,6,0
2022-09,0.3873335310537774,cotton,clf_logit,6,0
2022-10,0.3609205916916663,cotton,clf_logit,6,0
2022-11,0.2924508752573362,cotton,clf_logit,6,0
2022-12,0.3385005899969203,cotton,clf_logit,6,0
2023-01,0.3354815318091958,cotton,clf_logit,6,0
2023-02,0.30535639640347495,cotton,clf_logit,6,0
2023-03,0.3599095828967945,cotton,clf_logit,6,0
2023-04,0.3292524680389336,cotton,clf_logit,6,0
2023-05,0.2668767625142155,cotton,clf_logit,6,0
2023-06,0.2471883603694503,cotton,clf_logit,6,0
2023-07,0.25656254405328244,cotton,clf_logit,6,0
2023-08,0.34097257966138894,cotton,clf_logit,6,0
2023-09,0.354626828293282,cotton,clf_logit,6,0
2023-10,0.27804936616381415,cotton,clf_logit,6,0
2023-11,0.2660901986720965,cotton,clf_logit,6,1
2023-12,0.40323911622856795,cotton,clf_logit,6,1
2024-01,0.4803534531899204,cotton,clf_logit,6,0
2024-02,0.5646706044382305,cotton,clf_logit,6,0
2024-03,0.56638716583687,cotton,clf_logit,6,0
2024-04,0.5622251970915015,cotton,clf_logit,6,0
2024-05,0.6122311693509146,cotton,clf_logit,6,0
2024-06,0.5665071658392479,cotton,clf_logit,6,0
2024-07,0.5627828704067177,cotton,clf_logit,6,0
2024-08,0.4375160565394768,cotton,clf_logit,6,0
2024-09,0.4407668886993371,cotton,clf_logit,6,0
2024-10,0.4222880913634472,cotton,clf_logit,6,0
2024-11,0.4646849411488956,cotton,clf_logit,6,0
2024-12,0.4796801832602439,cotton,clf_logit,6,0
2025-01,0.3733884156127752,cotton,clf_logit,6,0
2025-02,0.40941957865912687,cotton,clf_logit,6,0
2025-03,0.3169943235860893,cotton,clf_logit,6,0
2025-04,0.3143308228494588,cotton,clf_logit,6,0
2025-05,0.27178589265442826,cotton,clf_logit,6,0
2025-06,0.2935120221159438,cotton,clf_logit,6,0
2016-01,0.8335205392594188,cotton,clf_logit,9,1
2016-02,0.8347291895619735,cotton,clf_logit,9,1
2016-03,0.8241425038950122,cotton,clf_logit,9,1
2016-04,0.8912816428212059,cotton,clf_logit,9,1
2016-05,0.8033887043974849,cotton,clf_logit,9,1
2016-06,0.7716502171909154,cotton,clf_logit,9,1
2016-07,0.7673710583524979,cotton,clf_logit,9,0
2016-08,0.7691869990347993,cotton,clf_logit,9,1
2016-09,0.736322389093786,cotton,clf_logit,9,1
2016-10,0.6259727946200581,cotton,clf_logit,9,1
2016-11,0.6219832708323935,cotton,clf_logit,9,1
2016-12,0.6753230074637867,cotton,clf_logit,9,1
2017-01,0.6760599043577209,cotton,clf_logit,9,0
2017-02,0.634710604293223,cotton,clf_logit,9,0
2017-03,0.7161869273128934,cotton,clf_logit,9,0
2017-04,0.5973247437809971,cotton,clf_logit,9,0
2017-05,0.6298335765225181,cotton,clf_logit,9,0
2017-06,0.6041828891307225,cotton,clf_logit,9,0
2017-07,0.669108197746391,cotton,clf_logit,9,0
2017-08,0.519237267043051,cotton,clf_logit,9,1
2017-09,0.5507605457242097,cotton,clf_logit,9,1
2017-10,0.48053129624375907,cotton,clf_logit,9,1
2017-11,0.5649619207744762,cotton,clf_logit,9,1
2017-12,0.5288713267364462,cotton,clf_logit,9,1
2018-01,0.4586088383492887,cotton,clf_logit,9,0
2018-02,0.3679045370788885,cotton,clf_logit,9,1
2018-03,0.4404558333960925,cotton,clf_logit,9,0
2018-04,0.4538444464787448,cotton,clf_logit,9,0
2018-05,0.4524389442419513,cotton,clf_logit,9,0
2018-06,0.4610621270954009,cotton,clf_logit,9,0
2018-07,0.420404577215904,cotton,clf_logit,9,0
2018-08,0.5015676719132052,cotton,clf_logit,9,0
2018-09,0.5657516787835386,cotton,clf_logit,9,0
2018-10,0.5352760471206527,cotton,clf_logit,9,0
2018-11,0.5283613533786878,cotton,clf_logit,9,0
2018-12,0.5082256650723246,cotton,clf_logit,9,0
2019-01,0.47515742630757524,cotton,clf_logit,9,0
2019-02,0.5272563886844244,cotton,clf_logit,9,0
