commodity,scenario,severity,month_offset,month,p2.5,p10,p25,p50,p75,p90,p95,p97.5
cotton,baseline,1.75,3,2026-03,1.365985969466879,1.4732094125622879,1.5583474701086102,1.6420856690234766,1.7301694914325256,1.815934844471899,1.8714991863908286,1.9284663183840576
cotton,baseline,1.75,4,2026-04,1.3287069793116153,1.4508946808378942,1.546308089541448,1.6443797385326506,1.7479704005160275,1.8496191348173139,1.916137263195115,1.9761410897285947
cotton,baseline,1.75,5,2026-05,1.3044555525618093,1.429830152846697,1.5359464228757584,1.6487025585543562,1.7611837957400542,1.8780019711088975,1.9561282262040443,2.0262138587092537
cotton,baseline,1.75,6,2026-06,1.2846387883668027,1.414577020861726,1.5264320928889201,1.6529581645473848,1.779004163026498,1.9090472227507875,1.991696696909274,2.0642086984547507
cotton,baseline,1.75,7,2026-07,1.258466445063052,1.397114299026488,1.5182045425194812,1.6524961696055553,1.7948955964972697,1.9337270052675795,2.0249305889585396,2.0969227494732734
cotton,baseline,1.75,8,2026-08,1.2398812842866265,1.379357500556515,1.5112934518676242,1.6565715975015087,1.8078984429091653,1.9580366512326683,2.0563261838259383,2.1439528509910915
cotton,baseline,1.75,9,2026-09,1.2214553359330758,1.367459141419851,1.5056950769639146,1.662443796752192,1.8236955259321719,1.9831122092345435,2.0871337325982746,2.1872866482531426
cotton,baseline,1.75,10,2026-10,1.213346303861375,1.3620756601466608,1.4999523332809153,1.6622305775815909,1.8339210080143937,2.008686917213735,2.118824697570706,2.2203156548230165
cotton,baseline,1.75,11,2026-11,1.193438895045249,1.3466159992902524,1.4963632860093972,1.6638349025062151,1.8462198773447516,2.0276947390548927,2.1395016571261047,2.2581263653892614
cotton,baseline,1.75,12,2026-12,1.1746897770475944,1.3317241298109055,1.4873431532393377,1.667257284469629,1.858492695337202,2.0554767422693296,2.183424371880099,2.2955367456179356
cotton,baseline,2.0,1,2026-01,1.4528011434221042,1.542210439726265,1.5910437328667695,1.634782511918274,1.6828147458192584,1.7226438298542548,1.7610315946062183,1.8026950841140277
cotton,baseline,2.0,2,2026-02,1.4137688575903335,1.5009970010175093,1.5722314748923902,1.6381111634126548,1.7073464426338545,1.7788499012266563,1.8256184751133786,1.8718143826175624
cotton,baseline,2.0,3,2026-03,1.365985969466879,1.4732094125622879,1.5583474701086102,1.6420856690234766,1.7301694914325256,1.815934844471899,1.8714991863908286,1.9284663183840576
cotton,baseline,2.0,4,2026-04,1.3287069793116153,1.4508946808378942,1.546308089541448,1.6443797385326506,1.7479704005160275,1.8496191348173139,1.916137263195115,1.9761410897285947
cotton,baseline,2.0,5,2026-05,1.3044555525618093,1.429830152846697,1.5359464228757584,1.6487025585543562,1.7611837957400542,1.8780019711088975,1.9561282262040443,2.0262138587092537
cotton,baseline,2.0,6,2026-06,1.2846387883668027,1.414577020861726,1.5264320928889201,1.6529581645473848,1.779004163026498,1.9090472227507875,1.991696696909274,2.0642086984547507
cotton,baseline,2.0,7,2026-07,1.258466445063052,1.397114299026488,1.5182045425194812,1.6524961696055553,1.7948955964972697,1.9337270052675795,2.0249305889585396,2.0969227494732734
cotton,baseline,2.0,8,2026-08,1.2398812842866265,1.379357500556515,1.5112934518676242,1.6565715975015087,1.8078984429091653,1.9580366512326683,2.0563261838259383,2.1439528509910915
cotton,baseline,2.0,9,2026-09,1.2214553359330758,1.367459141419851,1.5056950769639146,1.662443796752192,1.8236955259321719,1.9831122092345435,2.0871337325982746,2.1872866482531426
cotton,baseline,2.0,10,2026-10,1.213346303861375,1.3620756601466608,1.4999523332809153,1.6622305775815909,1.8339210080143937,2.008686917213735,2.118824697570706,2.2203156548230165
cotton,baseline,2.0,11,2026-11,1.193438895045249,1.3466159992902524,1.4963632860093972,1.6638349025062151,1.8462198773447516,2.0276947390548927,2.1395016571261047,2.2581263653892614
cotton,baseline,2.0,12,2026-12,1.1746897770475944,1.3317241298109055,1.4873431532393377,1.667257284469629,1.858492695337202,2.0554767422693296,2.183424371880099,2.2955367456179356
cotton,el_nino,0.0,1,2026-01,1.4528011434221042,1.542210439726265,1.5910437328667695,1.634782511918274,1.6828147458192584,1.7226438298542548,1.7610315946062183,1.8026950841140277
cotton,el_nino,0.0,2,2026-02,1.4137688575903335,1.5009970010175093,1.5722314748923902,1.6381111634126548,1.7073464426338545,1.7788499012266563,1.8256184751133786,1.8718143826175624
cotton,el_nino,0.0,3,2026-03,1.365985969466879,1.4732094125622879,1.5583474701086102,1.6420856690234766,1.7301694914325256,1.815934844471899,1.8714991863908286,1.9284663183840576
cotton,el_nino,0.0,4,2026-04,1.3287069793116153,1.4508946808378942,1.546308089541448,1.6443797385326506,1.7479704005160275,1.8496191348173139,1.916137263195115,1.9761410897285947
cotton,el_nino,0.0,5,2026-05,1.3044555525618093,1.429830152846697,1.5359464228757584,1.6487025585543562,1.7611837957400542,1.8780019711088975,1.9561282262040443,2.0262138587092537
cotton,el_nino,0.0,6,2026-06,1.2846387883668027,1.414577020861726,1.5264320928889201,1.6529581645473848,1.779004163026498,1.9090472227507875,1.991696696909274,2.0642086984547507
cotton,el_nino,0.0,7,2026-07,1.258466445063052,1.397114299026488,1.5182045425194812,1.6524961696055553,1.7948955964972697,1.9337270052675795,2.0249305889585396,2.0969227494732734
cotton,el_nino,0.0,8,2026-08,1.2398812842866265,1.379357500556515,1.5112934518676242,1.6565715975015087,1.8078984429091653,1.9580366512326683,2.0563261838259383,2.1439528509910915
cotton,el_nino,0.0,9,2026-09,1.2214553359330758,1.367459141419851,1.5056950769639146,1.662443796752192,1.8236955259321719,1.9831122092345435,2.0871337325982746,2.1872866482531426
cotton,el_nino,0.0,10,2026-10,1.213346303861375,1.3620756601466608,1.4999523332809153,1.6622305775815909,1.8339210080143937,2.008686917213735,2.118824697570706,2.2203156548230165
cotton,el_nino,0.0,11,2026-11,1.193438895045249,1.3466159992902524,1.4963632860093972,1.6638349025062151,1.8462198773447516,2.0276947390548927,2.1395016571261047,2.2581263653892614
cotton,el_nino,0.0,12,2026-12,1.1746897770475944,1.3317241298109055,1.4873431532393377,1.667257284469629,1.858492695337202,2.0554767422693296,2.183424371880099,2.2955367456179356
cotton,el_nino,0.25,1,2026-01,1.4491717188541329,1.5383576505924816,1.5870689471647281,1.6306984568919474,1.6786106954511302,1.718340277460835,1.7566321409278007,1.7981915456521613
cotton,el_nino,0.25,2,2026-02,1.4067138548568316,1.4935067115771223,1.5643857105062875,1.6299366455813917,1.6988264262569572,1.7699730676139578,1.816508256520638,1.8624736367699821
cotton,el_nino,0.25,3,2026-03,1.3557739019426074,1.462195745998531,1.5466973141430713,1.6298094889546206,1.7172347995177621,1.8023589735142622,1.8575079181858547,1.9140491657179086
cotton,el_nino,0.25,4,2026-04,1.3154790147390036,1.4364502745575436,1.5309137934737067,1.628009088521841,1.7305684519359277,1.8312052205614677,1.8970611265988144,1.9564675840328882
cotton,el_nino,0.25,5,2026-05,1.288242642889426,1.412058978451811,1.5168563430590873,1.6282110472828732,1.7392942696916416,1.8546605270387262,1.9318157609945081,2.0010303082205705
cotton,el_nino,0.25,6,2026-06,1.265502749768087,1.3935054163630947,1.503694290082128,1.6283356235457584,1.7525040350222436,1.880609967335377,1.9620282911176004,2.0334601505460785
cotton,el_nino,0.25,7,2026-07,1.2366231703545092,1.3728645055158317,1.4918529786648338,1.6238136982300868,1.7637414900518815,1.9001631940487027,1.9897837518745076,2.0605263403047775
cotton,el_nino,0.25,8,2026-08,1.215316854031178,1.35202977850025,1.4813518251454518,1.6237517316113679,1.7720805014880014,1.9192441834646838,2.0155864115870927,2.101477026130616
cotton,el_nino,0.25,9,2026-09,1.1942649439897448,1.337018609598609,1.4721773231129165,1.6254367142272126,1.7830988748090137,1.9389668388305557,2.0406727752812044,2.1385962217522123
cotton,el_nino,0.25,10,2026-10,1.1833726885917626,1.3284279441768563,1.4628986133186574,1.6211680551481695,1.7886171713816468,1.9590657920147192,2.0664828095980585,2.165466608839219
cotton,el_nino,0.25,11,2026-11,1.1610492308045808,1.3100691427572506,1.4557523216633177,1.6186787960077436,1.7961138834895933,1.972663558109456,2.081436061472764,2.1968413217296234
cotton,el_nino,0.25,12,2026-12,1.1399539654162882,1.2923447809633823,1.4433621187470789,1.6179561531362001,1.8035366946596074,1.9946958839294813,2.1188600765446535,2.2276572649699187
cotton,el_nino,0.5,1,2026-01,1.4455513614064306,1.5345144865939764,1.5831040913728776,1.6266246047552015,1.674417147747981,1.7140474763108713,1.7522436780758552,1.7936992580440065
cotton,el_nino,0.5,2,2026-02,1.3996940580647412,1.4860538002499912,1.5565790981278789,1.6218029203063766,1.6903489265464202,1.761140531260367,1.8074434998269413,1.8531795032007339
